LOANSKEY,Servicer,PoolID,Original LTV,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,Occupancy,Units,Scheduled Balance,Original Balance,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,Master Servicing Fee Rate,LPMI Fee Rate,State,City,Zip,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Seller,Index,Initial Rate Adjustment Period,Subsequent Rate Adjustment Period,Initial Payment Adjustmen Period,Subsequent Payment Adjustment Period,First Rate Adjustment Date,First Payment Adjustment Date,Initial Periodic Cap,Subsequent Periodic Cap,Life Cap,Margin,Max Rate,Months to Next Rate Adjustment,Months to Next Pay Adjustment,Servicing Step Up,Step up Servicing Rate
799417,Innit Mortgage,3,80,0,1250000,0,No Insurance,N,724,Full Documentation,N,10 Year ARM,Rate-Term Refinance,Planned unit developments,Primary,1,1000000,1000000,0,1/29/07,3/1/07,2/1/37,5/1/07,6.5,0.25,0.0105,0,Alabama,TUSCALOOSA,35406,Y,N,Jumbo,120,360,240,5416.67,"5,416.67",0,0,0,0,1st Lien,Caned,Libor - 1 Year,120,12,121,12,2/1/17,3/1/17,5,2,5,2.25,11.5,117,118,N,0
800066,Innit Mortgage,3,80,574959.74,575000,0,No Insurance,N,797,Full Documentation,N,10 Year ARM,Purchase,Condo,Primary,1,459966.53,459967,0,1/24/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,California,HAWTHORNE,90250,Y,N,Jumbo,120,360,240,2251.92,"2,251.92",0,0,0,0,1st Lien,Caned,Libor - 1 Year,120,12,121,12,2/1/17,3/1/17,5,2,5,2.25,10.88,117,118,N,0
797914,Innit Mortgage,2,80,562000,580000,0,No Insurance,N,758,Full Documentation,N,7 Year ARM,Purchase,Single Family Residence,Primary,1,449600,449600,0,1/5/07,3/1/07,2/1/37,5/1/07,6,0.25,0.0105,0,Georgia,ATLANTA,30328,Y,N,Jumbo,120,360,240,2248,"2,248.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,2/1/14,3/1/14,5,2,5,2.25,11,81,82,N,0
799337,Innit Mortgage,2,70,770530,975000,0,No Insurance,N,771,No Income Verifier,N,7 Year ARM,Purchase,Planned unit developments,Secondary,1,539350,539350,0,1/16/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,Florida,FORT MYERS,33913,Y,N,Jumbo,120,360,240,2640.57,"2,640.57",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,2/1/14,3/1/14,5,2,5,2.25,10.88,81,82,N,0
773335,Innit Mortgage,3,80,0,585000,0,No Insurance,N,709,Full Documentation,Y,10 Year ARM,Cash-out Refinance,Single Family Residence,Primary,1,468000,468000,0,12/15/06,2/1/07,1/1/37,5/1/07,6.625,0.25,0.0105,0,Washington,MILTON,98354,Y,N,Jumbo,120,360,240,2583.75,"2,583.75",0,0,0,0,1st Lien,Caned,Libor - 1 Year,120,12,121,12,1/1/17,2/1/17,5,2,5,2.25,11.63,116,117,N,0
797187,Innit Mortgage,3,79.99,855707,860000,0,No Insurance,N,782,Full Documentation,N,10 Year ARM,Purchase,Planned unit developments,Secondary,1,684500,684500,0,1/3/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,Florida,NAPLES,34120,Y,N,Jumbo,120,360,240,3351.2,"3,351.20",0,0,0,0,1st Lien,Caned,Libor - 1 Year,120,12,121,12,2/1/17,3/1/17,5,2,5,2.25,10.88,117,118,N,0
795898,Innit Mortgage,2,74.99,687984,800000,0,No Insurance,N,766,No Income Verifier,Y,7 Year ARM,Purchase,Planned unit developments,Primary,1,515950,515950,0,12/14/06,2/1/07,1/1/37,5/1/07,5.75,0.25,0.0105,0,Florida,FORT MYERS,33913,Y,N,Jumbo,120,360,240,2472.26,"2,472.26",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,1/1/14,2/1/14,5,2,5,2.25,10.75,80,81,N,0
795925,Innit Mortgage,2,80,564625.36,583000,0,No Insurance,N,700,Full Documentation,N,7 Year ARM,Purchase,Condo,Primary,1,451700,451700,0,1/3/07,3/1/07,2/1/37,5/1/07,5.5,0.25,0.0105,0,California,HAWTHORNE,90250,Y,N,Jumbo,120,360,240,2070.29,"2,070.29",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,2/1/14,3/1/14,5,2,5,2.25,10.5,81,82,N,0
797182,Innit Mortgage,2,80,715000,715000,0,No Insurance,N,792,Full Documentation,N,7 Year ARM,Purchase,Planned unit developments,Primary,1,572000,572000,0,12/14/06,2/1/07,1/1/37,5/1/07,6.25,0.25,0.0105,0,Colorado,BOULDER,80304,Y,N,Jumbo,120,360,240,2979.17,"2,979.17",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,1/1/14,2/1/14,5,2,5,2.25,11.25,80,81,N,0
797911,Innit Mortgage,2,79.99,898745,900000,0,No Insurance,N,795,Full Documentation,N,7 Year ARM,Purchase,Planned unit developments,Primary,1,718950,718950,0,1/2/07,3/1/07,2/1/37,5/1/07,6.125,0.25,0.0105,0,Arizona,CHANDLER,85249,Y,N,Jumbo,120,360,240,3669.64,"3,669.64",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,2/1/14,3/1/14,5,2,5,2.25,11.13,81,82,N,0
